Dataset,Num nodes,Enc,Dec,Emb loss,Mean,Std,Best,Bad time,Enc time,Dec time
zoo,64,Hyp,NJ,7.346500245507777,9.583922263161764,-1.0,9.583922263161764,0.0,558.0905458927155,0.4808802604675293
zoo,64,Hyp,NJ,7.345659065592078,9.476024777661118,-1.0,9.476024777661118,0.0,538.0715782642365,0.32645630836486816
zoo,64,Hyp,NJ,7.34561055213227,9.478413682113706,-1.0,9.478413682113706,0.0,444.35689425468445,0.2880539894104004
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.5849063396453857
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.3109581470489502
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.27765345573425293
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.3110189437866211
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.28455638885498047
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.28435540199279785
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.3305211067199707
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.28637027740478516
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.3185086250305176
iris,64,Direct,NJ,-1.0,43.85348024488811,-1.0,43.85348024488811,0.0,-1.0,0.28531908988952637
iris,64,Hyp,NJ,15.641845761320019,18.179506869645955,-1.0,18.179506869645955,0.0,647.2650167942047,0.44554615020751953
iris,64,Hyp,NJ,15.64184502597385,18.17950451539706,-1.0,18.17950451539706,0.0,643.8946175575256,0.3483591079711914
iris,64,Hyp,NJ,15.641845326980905,18.179504756401602,-1.0,18.179504756401602,0.0,649.0583653450012,0.33394670486450195
iris,64,Hyp,NJ,15.641846150122314,18.179506730341426,-1.0,18.179506730341426,0.0,524.5918164253235,0.42900586128234863
iris,64,Hyp,NJ,15.641846033719792,18.179504326775763,-1.0,18.179504326775763,0.0,594.2153944969177,0.33106541633605957
iris,64,Hyp,NJ,15.641845242022955,18.17950723914774,-1.0,18.17950723914774,0.0,670.9664220809937,0.4327096939086914
iris,64,Hyp,NJ,15.641846469354157,18.179502152920715,-1.0,18.179502152920715,0.0,672.2147455215454,0.33669447898864746
iris,64,Hyp,NJ,15.641846062445529,18.17950387341913,-1.0,18.17950387341913,0.0,666.2998974323273,0.487790584564209
iris,64,Hyp,NJ,15.641846102733737,18.179502092927148,-1.0,18.179502092927148,0.0,573.8164129257202,0.33619093894958496
iris,64,Hyp,NJ,15.641845678378399,18.17950627871854,-1.0,18.17950627871854,0.0,559.7888422012329,0.36455297470092773
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.4729139804840088
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.3533632755279541
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.3884243965148926
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.35788846015930176
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.4083833694458008
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.3633427619934082
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.4173734188079834
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.3661501407623291
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.37406468391418457
glass,64,Direct,NJ,-1.0,60.96161711485148,-1.0,60.96161711485148,0.0,-1.0,0.42768001556396484
glass,64,Hyp,NJ,25.535043968643958,44.8032093278002,-1.0,44.8032093278002,0.0,813.3266081809998,0.4440336227416992
glass,64,Hyp,NJ,25.53019897613447,45.85483804523905,-1.0,45.85483804523905,0.0,816.6507985591888,0.5584084987640381
