Dataset,Num nodes,Enc,Dec,Emb loss,Mean,Std,Best,Bad time,Enc time,Dec time
random_tree,128,Hyp,single,87.3167693895627,867.6928275381241,-1.0,867.6928275381241,0.0,0.14461851119995117,0.0007750988006591797
random_tree,128,Hyp,single,89.44117465526736,960.2208026590598,-1.0,960.2208026590598,0.0,0.14572548866271973,0.0007352828979492188
random_tree,128,Hyp,complete,97.70197710962871,773.1874831706888,-1.0,773.1874831706888,0.0,0.14307379722595215,0.0008580684661865234
random_tree,128,Hyp,complete,87.3167693895627,734.3409521089952,-1.0,734.3409521089952,0.0,0.14045286178588867,0.0008571147918701172
random_tree,128,Hyp,complete,89.44117465526736,821.0553608764467,-1.0,821.0553608764467,0.0,0.14482903480529785,0.0008640289306640625
random_tree,128,Hyp,average,97.70197710962871,340.15980006012086,-1.0,340.15980006012086,0.0,0.14311504364013672,0.0008609294891357422
random_tree,128,Hyp,average,87.3167693895627,310.86045566113916,-1.0,310.86045566113916,0.0,0.14002442359924316,0.0008656978607177734
random_tree,128,Hyp,average,89.44117465526736,316.8882252818511,-1.0,316.8882252818511,0.0,0.13022994995117188,0.0007474422454833984
random_tree,128,Hyp,weighted,97.70197710962871,346.03515638046207,-1.0,346.03515638046207,0.0,0.13465070724487305,0.0008327960968017578
random_tree,128,Hyp,weighted,87.3167693895627,337.61038033949643,-1.0,337.61038033949643,0.0,0.13770484924316406,0.0009236335754394531
random_tree,128,Hyp,weighted,89.44117465526736,327.47348709241487,-1.0,327.47348709241487,0.0,0.14227509498596191,0.00084686279296875
random_tree,128,Hyp,centroid,97.70197710962871,-1.0,-1.0,-1.0,-1.0,0.14077043533325195,-1.0
random_tree,128,Hyp,centroid,87.3167693895627,-1.0,-1.0,-1.0,-1.0,0.11974239349365234,-1.0
random_tree,128,Hyp,centroid,89.44117465526736,-1.0,-1.0,-1.0,-1.0,0.13832974433898926,-1.0
random_tree,128,Hyp,median,97.70197710962871,-1.0,-1.0,-1.0,-1.0,0.14345979690551758,-1.0
random_tree,128,Hyp,median,87.3167693895627,-1.0,-1.0,-1.0,-1.0,0.13552021980285645,-1.0
random_tree,128,Hyp,median,89.44117465526736,-1.0,-1.0,-1.0,-1.0,0.15065646171569824,-1.0
# Namespace(Normalization=False, anneal_every=200, anneal_factor=1.0, batch_size=1000000, burnin=50, burnin_factor=10, c=100, check_tree=False, dataset='random_tree', dec_method='median', dec_repeat=20, device=0, dtype='double', enc_method='Hyp', epochs=500, eval_every=1, fast_decoding=1, init_size=1e-06, learning_rate=0.001, max_scale=0.999, noise_scale=0.1, num_nodes=128, num_samples=-1, num_workers=1, optimizer='RAdam', p=2, patience=50, rank=64, save=True, scaling_factor=0.01, seed=3, temperature=0.01, verbose=False)
